19485
-------- Apriori --------
(u'learning algorithm', u'training data') 15
(u'topic model', u'data set') 15
(u'optimization problem', u'data mining') 15
(u'data points', u'training data') 15
(u'relational database',) 14
(u'click data',) 14
(u'sampling method',) 14
(u'operating system',) 14
(u'heterogeneous data',) 14
(u'sensor data',) 14
(u'predictive model',) 14
(u'data collected',) 14
(u'training dataset',) 14
(u'poisson process',) 14
(u'expression data', u'gene expression data') 14
(u'expression data',) 14
(u'gene expression data',) 14
(u'data matrix',) 14
(u'testing data',) 14
(u'mining frequent', u'data mining') 14
(u'privacy preserving data', u'data mining', u'preserving data') 14
(u'privacy preserving data', u'data mining') 14
(u'preserving data', u'data mining') 14
(u'original data', u'data mining') 14
(u'proposed algorithm', u'data sets') 14
(u'em algorithm', u'data set') 14
(u'em algorithm', u'data mining') 14
(u'test data', u'data sets', u'data set') 14
(u'topic model', u'data mining') 14
(u'labeled data', u'data mining') 14
(u'proposed method', u'optimization problem') 14
(u'proposed method', u'data mining') 14
(u'twitter data',) 13
(u'selection problem',) 13
(u'application server',) 13
(u'maximization problem',) 13
(u'raw data',) 13
(u'mining tasks',) 13
(u'frequent itemset mining', u'data mining', u'itemset mining') 13
(u'frequent itemset mining', u'data mining') 13
(u'mining algorithms', u'data mining') 13
(u'synthetic data sets', u'synthetic data', u'data sets') 13
(u'synthetic data sets', u'synthetic data') 13
(u'synthetic data sets', u'data sets') 13
(u'synthetic data sets',) 13
(u'rule mining', u'data mining') 13
(u'dimensional data', u'data mining') 13
(u'large data', u'data mining') 13
(u'original data', u'data sets') 13
(u'proposed model', u'data set') 13
(u'data structure', u'data mining') 13
(u'data point', u'data points', u'data mining') 13
(u'mixture model', u'data mining') 13
(u'em algorithm', u'training data') 13
(u'learning algorithm', u'data mining') 13
(u'proposed method', u'data sets', u'data set') 13
(u'training data', u'data sets', u'data mining') 13
(u'personal data',) 12
(u'pagerank algorithm',) 12
(u'link prediction problem', u'prediction problem') 12
(u'link prediction problem',) 12
(u'extraction algorithm',) 12
(u'search process',) 12
(u'retrieval model',) 12
(u'diffusion process',) 12
(u'weighting scheme',) 12
(u'text data',) 12
(u'observed data',) 12
(u'usage data',) 12
(u'data center',) 12
(u'mining techniques',) 12
(u'graph mining', u'data mining') 12
(u'data item',) 12
(u'large data sets', u'large data', u'data sets') 12
(u'large data sets', u'large data') 12
(u'large data sets', u'data sets') 12
(u'large data sets',) 12
(u'time series data', u'data mining', u'series data') 12
(u'time series data', u'data mining') 12
(u'series data', u'data mining') 12
(u'mining algorithm', u'data mining') 12
(u'text mining', u'data set') 12
(u'text mining', u'data mining') 12
(u'itemset mining', u'pattern mining') 12
(u'generative model', u'data set') 12
(u'data analysis', u'data mining') 12
(u'data stream', u'data streams', u'data mining') 12
(u'original data', u'data set') 12
(u'proposed algorithm', u'data set') 12
(u'real data', u'synthetic data', u'data set') 12
(u'real data', u'data mining') 12
(u'em algorithm', u'data sets') 12
(u'model parameters', u'data sets') 12
(u'model parameters', u'data mining') 12
(u'unlabeled data', u'labeled data', u'training data') 12
(u'learning algorithm', u'data sets', u'data set') 12
(u'proposed method', u'training data') 12
(u'clustering algorithm', u'data points') 12
(u'spatial data',) 11
(u'semantic data',) 11
(u'social data',) 11
(u'data processing',) 11
(u'dataset size',) 11
(u'application level',) 11
(u'relevance model',) 11
(u'data miningsession',) 11
(u'dblp dataset',) 11
(u'classification task',) 11
(u'latent factor model', u'factor model') 11
(u'latent factor model',) 11
(u'means algorithm',) 11
(u'cost model',) 11
(u'data quality',) 11
(u'dual problem',) 11
(u'space model',) 11
(u'benchmark data',) 11
(u'private data',) 11
(u'mining process', u'data mining') 11
(u'synthetic data sets', u'data set', u'synthetic data', u'data sets') 11
(u'synthetic data sets', u'data set', u'synthetic data') 11
(u'synthetic data sets', u'data set', u'data sets') 11
(u'synthetic data sets', u'data set') 11
(u'frequent pattern mining', u'data mining', u'pattern mining') 11
(u'frequent pattern mining', u'data mining') 11
(u'mining frequent', u'pattern mining') 11
(u'itemset mining', u'pattern mining', u'data mining') 11
(u'linked data', u'data sources') 11
(u'data records', u'data mining') 11
(u'real data', u'synthetic data', u'data sets', u'data set') 11
(u'real data', u'synthetic data', u'data sets') 11
(u'model parameters', u'training data') 11
(u'unlabeled data', u'data sets', u'data set') 11
(u'test data', u'training data', u'data set') 11
(u'test data', u'training data', u'data mining') 11
(u'labeled data', u'data sets', u'data set') 11
(u'clustering algorithm', u'data sets', u'data mining') 11
(u'clustering algorithm', u'data set', u'data mining') 11
(u'synthetic data', u'training data') 11
(u'optimization problem', u'data set', u'data mining') 11
(u'training data', u'data sets', u'data set', u'data mining') 11
(u'management system',) 10
(u'clustering process',) 10
(u'traffic data',) 10
(u'evaluation set',) 10
(u'tree algorithm',) 10
(u'data management',) 10
(u'programming model',) 10
(u'detection method',) 10
(u'uncertain data',) 10
(u'data instances',) 10
(u'usage mining',) 10
(u'clustering problem',) 10
(u'graph database',) 10
(u'domain data',) 10
(u'scale data',) 10
(u'sequential pattern mining', u'pattern mining') 10
(u'sequential pattern mining',) 10
(u'data clustering',) 10
(u'microarray data',) 10
(u'efficient algorithm',) 10
(u'synthetic dataset',) 10
(u'data item', u'data items') 10
(u'data structures', u'data structure') 10
(u'mining tasks', u'data mining') 10
(u'ranking model', u'training data') 10
(u'markov model', u'training data') 10
(u'testing data', u'training data') 10
(u'lda model', u'topic model') 10
(u'real world data', u'data sets', u'world data') 10
(u'real world data', u'data sets') 10
(u'real world data', u'data set', u'world data') 10
(u'real world data', u'data set') 10
(u'world data', u'data sets') 10
(u'world data', u'data set') 10
(u'mining frequent', u'pattern mining', u'data mining') 10
(u'rule mining', u'data set') 10
(u'data analysis', u'data set') 10
(u'original data', u'data sets', u'data set') 10
(u'data sources', u'data mining') 10
(u'pattern mining', u'data set') 10
(u'unlabeled data', u'labeled data', u'data sets') 10
(u'unlabeled data', u'data points') 10
(u'test data', u'labeled data') 10
(u'topic model', u'training data') 10
(u'topic model', u'data sets') 10
Number of patterns: 408
-------- One-to-Many Association Rules --------
data mining --> (u'transaction database', u'itemset mining') 0.00133725595079 1.0
data mining --> (u'data miner',) 0.00160470714095 1.0
data mining --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data mining', u'preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'preserving data') 0.00240706071142 1.0
data mining --> (u'privacy preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'preserving data mining', u'preserving data', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'preserving data mining', u'preserving data') 0.00240706071142 1.0
data mining --> (u'preserving data mining', u'privacy preserving data') 0.00240706071142 1.0
data mining --> (u'itemset mining', u'data sets', u'data set') 0.00133725595079 1.0
data mining --> (u'itemset mining', u'data sets', u'data set') 0.00133725595079 1.0
data mining --> (u'itemset mining', u'data sets') 0.00133725595079 1.0
data mining --> (u'itemset mining', u'data set') 0.00160470714095 1.0
data points --> (u'data point', u'data sets', u'data set', u'data mining') 0.00133725595079 1.0
data points --> (u'data point', u'data sets', u'data mining') 0.00133725595079 1.0
data points --> (u'data point', u'data set', u'data mining') 0.00133725595079 1.0
data set --> (u'classification problem', u'data sets') 0.00160470714095 1.0
